Place_ID,Facility_Name,Facility_Group,Facility_Type,Address,Latitude,Longitude,Geometry
PRK080,Jackson Creek Trail,Parks,Multi-use Trail,"Runs From Sherwood Oaks Park To Childs School, Bloomington, In",39.132268,-86.510792,POINT (-86.510796784189 39.132275187263)
PRK081,Winslow Woods Park,Parks,Community Park,"2120 S Highland Avenue, Bloomington, In",39.141619,-86.51806,POINT (-86.516763372816 39.141713404233)
PRK082,Park Ridge East Park Playground,Parks,Playground,"4421 E Morningside Drive, Bloomington, In",39.167198,-86.474188,POINT (-86.474193048431 39.167205333814)
PRK083,Schmaltz Farm Park Playground,Parks,Playground,"3010 E Daniel Street, Bloomington, In",39.136732,-86.491876,POINT (-86.491881902186 39.136738385863)
PRK084,Twin Lakes Sports Park,Parks,Sports Park,"2350 W Bloomfield Road, Bloomington, In",39.153833,-86.567549,POINT (-86.567554160974 39.153840286252)
PRK085,Switchyard Park,Parks,Community Park,"Along The B-Trail From Grimes Lane To Country Club Drive, Bloomington, In",39.147738,-86.535056,POINT (-86.53506075916 39.147745062896)
PRK086,Griffy Lake Wetland Trail End,Parks,Trailhead,"Eastern Edge Of Griffy Lake Shoreline, Bloomington, In",39.197222,-86.508631,POINT (-86.508636275923 39.19722986499)
PRK087,Olcott Park,Parks,Community Park,"2300 E Canada Drive, Bloomington, In",39.12563,-86.510514,POINT (-86.510519182231 39.125637777052)
PRK088,Bryan Park Playground,Parks,Playground,"1001 S Henderson Street, Bloomington, In",39.156172,-86.526435,POINT (-86.526440221008 39.156179741805)
PRK089,Skate Park at Upper Cascades,Parks,Skate Park,"2602 N Kinser Pike, Bloomington, In",39.191876,-86.536883,POINT (-86.536984709071 39.192122262344)
